Model,Horizon,N,MAE,RMSE,DirectionalAccuracy,MeanActualReturn,MeanPredReturn,RankIC_Mean,RankIC_Median,RankIC_Std,RankIC_N,MeanLongShortReturn,VolLongShortReturn,SharpeApprox,N_Dates
Naive-RandomWalk,1,2880,0.013275787121869317,0.021193448382010243,0.05,0.0015793585799082355,0.0,,,,,,,,
AutoETS,1,2880,0.013282106444193248,0.021209527403352146,0.4756944444444444,0.0015793585799082353,0.00015105223936479496,0.018717846269140696,-0.0009493475615252516,0.14131350669236395,18.0,0.00029660436940832165,0.0063432956528506005,0.16197694879042107,18.0
AutoTheta,1,2880,0.013419148681950922,0.02122503468356003,0.5065972222222223,0.0015793585799082353,0.00020024963704812936,0.05620495938950917,0.05311437946794797,0.19287379453247563,18.0,0.002679882200513559,0.012039376371572813,0.771085143670541,18.0
NBEATS,1,2880,0.013586071749334502,0.021544082896960675,0.48020833333333335,0.0015793585799082353,0.0004501582264028388,0.02728184139534204,0.023671334817766322,0.10567771424633228,18.0,0.0002608669919349307,0.005299917678866522,0.1705063781841959,18.0
AutoARIMA,1,2880,0.013648879661507221,0.0218355655049392,0.28854166666666664,0.0015793585799082353,8.801143478261315e-05,-0.027405785626746497,-0.03614367267254884,0.0967039737551437,18.0,-0.002151321755638652,0.007374826775530971,-1.0105182664242696,18.0
NBEATS-NoEmb,1,2880,0.013704103918863132,0.021366566157769374,0.5309027777777777,0.0015793585799082353,0.002833494619537485,0.05752949848117041,0.04074915035743584,0.13117535622984655,18.0,0.002413791561393014,0.007118659209779559,1.1746059194602676,18.0
NBEATS-Emb-16,1,2880,0.014311637279911669,0.021640620749023436,0.5013888888888889,0.0015793585799082353,0.0016173048164798865,-0.02009713878863921,-0.027200281260986756,0.13494581812313103,18.0,-0.0009388090231794365,0.007485298125258099,-0.43446898160648045,18.0
PatchTST,1,2880,0.014385071835382774,0.02233125070458197,0.4597222222222222,0.0015793585799082353,0.0009299396287813422,-0.05088704666013811,-0.0470701980546115,0.20876342238223683,18.0,-6.798735709296174e-05,0.010853015898542344,-0.02170043015843253,18.0
NBEATS-Emb-8,1,2880,0.014417159591144414,0.022079454016996358,0.4809027777777778,0.0015793585799082353,0.00014689310660792224,0.019092841393014325,0.01256152584085316,0.12258665843377947,18.0,-0.0018112284626335153,0.006822330451499303,-0.9196680646586638,18.0
NBEATS-Emb-32,1,2880,0.014520342262882808,0.022119278457090174,0.4600694444444444,0.0015793585799082353,5.256186373622086e-05,-0.013212635574907546,0.00941198874956053,0.12323278326896853,18.0,-0.00018377668866887824,0.006333999843440804,-0.10050854748627513,18.0
Chronos-ZeroShot,1,2880,0.014708260095745983,0.022709182371610525,0.4829861111111111,0.0015793585799082355,0.0022922062880962896,0.01163252934867663,0.04184495240574622,0.11557625639487802,18.0,0.0008150589084635566,0.0056743974360234,0.49757651152818866,18.0
Kronos-ZeroShot,1,2880,0.025431389877533257,0.04285398538693127,0.4732638888888889,0.0015793585799082355,-0.007585230790341495,-0.012093036339467391,-0.0321072790064546,0.16115499629014846,18.0,-0.002061791654038135,0.00814725270695642,-0.8766459143623628,18.0
NBEATS,5,2880,0.029048528675232048,0.04187724825082648,0.5454861111111111,0.004626902477480933,0.0026792489799421187,0.009643773405306645,-0.011556603773584905,0.16476111293419962,18.0,-0.00038844115975649623,0.01689264771190977,-0.07965593504621406,18.0
AutoTheta,5,2880,0.029095066052357805,0.041720284002573715,0.553125,0.004626902477480933,0.0010480979323794618,0.07670434063708235,0.12606644790812138,0.19457106439727861,18.0,0.0065001990643752845,0.027157327697384707,0.8291445435475523,18.0
AutoETS,5,2880,0.029174421474577866,0.04179910558149777,0.4986111111111111,0.004626902477480933,0.0004955754952154269,0.04856503501970293,0.034369298452169045,0.11921883531510365,18.0,0.004440542647610917,0.017865155633051168,0.8610331347586418,18.0
Naive-RandomWalk,5,2880,0.029199741231421283,0.04178676096878415,0.001388888888888889,0.004626902477480933,0.0,,,,,,,,
PatchTST,5,2880,0.029342567462269455,0.042023858305992444,0.5260416666666666,0.004626902477480933,0.0017090591579886326,0.0699781689025359,0.09411402789171452,0.1763834781753668,18.0,0.008307280892299429,0.02190100113713893,1.3139703055682697,18.0
AutoARIMA,5,2880,0.029556157712004236,0.04248962380336218,0.28715277777777776,0.004626902477480933,0.00026045394808718407,0.0011078438401223678,0.0005550699613996778,0.09650780236015495,18.0,-8.756118628505364e-06,0.014600563744653286,-0.0020774598305802264,18.0
NBEATS-NoEmb,5,2880,0.029583096917455566,0.04217485800951446,0.5211805555555555,0.004626902477480933,0.003158368780148302,0.013050790186845157,0.01983475917028009,0.1657984043220644,18.0,0.0010836218372562113,0.015580329120246131,0.24093047891779595,18.0
NBEATS-Emb-32,5,2880,0.029658158596715885,0.042157079967104036,0.5340277777777778,0.004626902477480933,0.002207802538113239,-0.02363047583164325,-0.0124238251494199,0.16264304135933216,18.0,-0.002268565921739638,0.01705062264863306,-0.4608947740788084,18.0
NBEATS-Emb-16,5,2880,0.029681054403091947,0.04231727113070999,0.5069444444444444,0.004626902477480933,0.0034493856610626687,0.01425470994505578,0.020710769951951247,0.11405179474410693,18.0,-0.0006583645516047141,0.014005321328475736,-0.16284108397615368,18.0
Chronos-ZeroShot,5,2880,0.029775536281018963,0.043058857705904736,0.5364583333333334,0.004626902477480933,0.005183627490653721,0.005894418849502632,0.01737079573420837,0.16877380051718285,18.0,-0.0029915583532842205,0.01864848379421683,-0.5557053451500678,18.0
NBEATS-Emb-8,5,2880,0.029819199386873406,0.04263724067504337,0.5215277777777778,0.004626902477480933,0.001916945076340595,-0.012243240175689694,-0.006104242353216923,0.1512890502770062,18.0,-0.001804181515901765,0.01763573150634066,-0.35438666669369184,18.0
Kronos-ZeroShot,5,2880,0.06210441816840671,0.09735125426974463,0.5138888888888888,0.004626902477480933,-0.025507478590169292,0.016450671423723848,-0.011534630258994491,0.19581303655131516,18.0,-0.0005412721290391934,0.02660965625368217,-0.07046395633819058,18.0
