Model,Horizon,N,MAE,RMSE,DirectionalAccuracy,MeanActualReturn,MeanPredReturn
Naive-RandomWalk,1,900,0.013940244912996435,0.021367514409188226,0.056666666666666664,0.0009596182336735464,0.0
NBEATS,1,900,0.014557662064861133,0.022021418163904894,0.46444444444444444,0.0009596182336735467,0.0013064852319943233
PatchTST,1,900,0.01483920156286563,0.022017758546875002,0.4622222222222222,0.0009596182336735467,0.0006001332548148985
Chronos-ZeroShot,1,900,0.01511214825822396,0.023595373534023845,0.4866666666666667,0.0009596182336735464,0.0019454530993800634
Kronos-ZeroShot,1,900,0.01835973731552233,0.026409929619377732,0.4777777777777778,0.0009596182336735464,0.0005281405630624286
PatchTST,5,900,0.03309768429379513,0.04558163509435175,0.5733333333333334,0.006682423006539154,0.003528188185777235
Naive-RandomWalk,5,900,0.033720288714326446,0.04601928530033974,0.0,0.006682423006539152,0.0
NBEATS,5,900,0.03381841818173546,0.046389089847636025,0.5566666666666666,0.006682423006539154,0.0053747453518421
Chronos-ZeroShot,5,900,0.034622553791215385,0.048129238931933056,0.5388888888888889,0.006682423006539152,0.004903670826045565
Kronos-ZeroShot,5,900,0.041760270605421604,0.05813562540731903,0.5377777777777778,0.006682423006539152,0.002946120399378983
