Model,Horizon,Date,RankIC,N_Assets
BarrierRF,1,2024-11-20,-0.20790460564865815,160
BarrierRF,1,2024-12-19,0.15996718621821165,160
BarrierRF,1,2025-01-17,-0.08453383240208028,160
BarrierRF,1,2025-02-17,-0.07073127856556898,160
BarrierRF,1,2025-03-18,0.1661373491151998,160
BarrierRF,1,2025-04-16,0.08729344896285011,160
BarrierRF,1,2025-05-15,0.02290812141099262,160
BarrierRF,1,2025-06-13,-0.20026075237313956,160
BarrierRF,1,2025-07-14,0.2568908941755537,160
BarrierRF,1,2025-08-12,0.1871235204500176,160
BarrierRF,1,2025-09-10,-0.1844222430563694,160
BarrierRF,1,2025-10-09,-0.17229872260635182,160
BarrierRF,1,2025-11-07,-0.020678542130551973,160
BarrierRF,1,2025-12-08,0.09268428454236494,160
BarrierRF,1,2026-01-06,0.10039259346068205,160
BarrierRF,1,2026-02-04,-0.02024493144263448,160
BarrierRF,1,2026-03-05,0.06485409586311965,160
BarrierRF,1,2026-04-03,-0.07722957928044065,160
BarrierRF,5,2024-11-20,-0.02691023086839329,160
BarrierRF,5,2024-12-19,0.0905777569436306,160
BarrierRF,5,2025-01-17,0.10355677956170163,160
BarrierRF,5,2025-02-17,0.08983944685339271,160
BarrierRF,5,2025-03-18,0.40385854916207664,160
BarrierRF,5,2025-04-16,-0.09053966951834057,160
BarrierRF,5,2025-05-15,-0.008757178014766201,160
BarrierRF,5,2025-06-13,-0.21348587835462324,160
BarrierRF,5,2025-07-14,0.20178586208392124,160
BarrierRF,5,2025-08-12,0.06487460447673737,160
BarrierRF,5,2025-09-10,0.03339095277159264,160
BarrierRF,5,2025-10-09,0.07144615024024377,160
BarrierRF,5,2025-11-07,0.13382456345951016,160
BarrierRF,5,2025-12-08,0.08369858197585843,160
BarrierRF,5,2026-01-06,0.14690905894761513,160
BarrierRF,5,2026-02-04,-0.029526544005625217,160
BarrierRF,5,2026-03-05,0.2403492323918903,160
BarrierRF,5,2026-04-03,-0.3362738778858549,160
Chronos-ZeroShot,1,2024-11-20,0.12278955436950614,160
Chronos-ZeroShot,1,2024-12-19,0.09474686511191843,160
Chronos-ZeroShot,1,2025-01-17,-0.09408768020357011,160
Chronos-ZeroShot,1,2025-02-17,0.038310202479370094,160
Chronos-ZeroShot,1,2025-03-18,0.1420309387085433,160
Chronos-ZeroShot,1,2025-04-16,0.10226180710183991,160
Chronos-ZeroShot,1,2025-05-15,-0.09178776514707605,160
Chronos-ZeroShot,1,2025-06-13,-0.08417906949490214,160
Chronos-ZeroShot,1,2025-07-14,0.054716981132075466,160
Chronos-ZeroShot,1,2025-08-12,-0.15777873973016343,160
Chronos-ZeroShot,1,2025-09-10,0.09332884097035041,160
Chronos-ZeroShot,1,2025-10-09,-0.1346889536864255,160
Chronos-ZeroShot,1,2025-11-07,0.16126215867807336,160
Chronos-ZeroShot,1,2025-12-08,-0.0933815774053674,160
Chronos-ZeroShot,1,2026-01-06,0.045379702332122344,160
Chronos-ZeroShot,1,2026-02-04,-0.10668580803937654,160
Chronos-ZeroShot,1,2026-03-05,-0.08148957099613327,160
Chronos-ZeroShot,1,2026-04-03,0.19863764209539433,160
Chronos-ZeroShot,5,2024-11-20,0.03908355795148248,160
Chronos-ZeroShot,5,2024-12-19,0.1530557834290402,160
Chronos-ZeroShot,5,2025-01-17,0.14861713348177663,160
Chronos-ZeroShot,5,2025-02-17,-0.09825998552715771,160
Chronos-ZeroShot,5,2025-03-18,0.31273877885854917,160
Chronos-ZeroShot,5,2025-04-16,0.22487401851634828,160
Chronos-ZeroShot,5,2025-05-15,0.09087366694011484,160
Chronos-ZeroShot,5,2025-06-13,-0.02124985350990273,160
Chronos-ZeroShot,5,2025-07-14,0.08586816321061955,160
Chronos-ZeroShot,5,2025-08-12,-0.3621088714402907,160
Chronos-ZeroShot,5,2025-09-10,0.13835403726708073,160
Chronos-ZeroShot,5,2025-10-09,-0.0043419664830657454,160
Chronos-ZeroShot,5,2025-11-07,-0.08087718270244931,160
Chronos-ZeroShot,5,2025-12-08,-0.18425524434548224,160
Chronos-ZeroShot,5,2026-01-06,-0.23588128442517287,160
Chronos-ZeroShot,5,2026-02-04,-0.11382435385004948,160
Chronos-ZeroShot,5,2026-03-05,-0.03938239774991211,160
Chronos-ZeroShot,5,2026-04-03,0.05281553966951834,160
Kronos-ZeroShot,1,2024-11-20,-0.08351107465135356,160
Kronos-ZeroShot,1,2024-12-19,0.0948288995663893,160
Kronos-ZeroShot,1,2025-01-17,-0.01209338140444793,160
Kronos-ZeroShot,1,2025-02-17,0.14657799132778626,160
Kronos-ZeroShot,1,2025-03-18,0.10348060471112151,160
Kronos-ZeroShot,1,2025-04-16,0.2016055314660729,160
Kronos-ZeroShot,1,2025-05-15,-0.16772823157154576,160
Kronos-ZeroShot,1,2025-06-13,-0.17653521621938356,160
Kronos-ZeroShot,1,2025-07-14,-0.12265908824563458,160
Kronos-ZeroShot,1,2025-08-12,0.16212938005390834,160
Kronos-ZeroShot,1,2025-09-10,0.2816360014063049,160
Kronos-ZeroShot,1,2025-10-09,-0.008414391187155748,160
Kronos-ZeroShot,1,2025-11-07,-0.30840267197937415,160
Kronos-ZeroShot,1,2025-12-08,-0.11860424235321691,160
Kronos-ZeroShot,1,2026-01-06,0.13875542013359896,160
Kronos-ZeroShot,1,2026-02-04,-0.15209480839095277,160
Kronos-ZeroShot,1,2026-03-05,-0.14452420016406892,160
Kronos-ZeroShot,1,2026-04-03,-0.05212117660846127,160
