Model,Horizon,RankIC_Mean,RankIC_Median,RankIC_Std,RankIC_N
Chronos-ZeroShot,1,0.035299766965609776,0.04345738295318128,0.1504473482793776,17
Chronos-ZeroShot,5,-0.030444177671068422,-0.08004801920768306,0.22799477747351352,18
Kronos-ZeroShot,1,0.040412400254219334,0.09061224489795917,0.12307117663008077,17
Kronos-ZeroShot,5,0.025274109643857536,-0.04134453781512605,0.18624494466268005,18
NBEATS,1,-0.0505416284160723,-0.05546218487394958,0.15675796075734613,17
NBEATS,5,-0.052719754568494065,-0.06381752701080431,0.1754741037651149,18
NBEATS-Emb-16,1,0.0467170397570793,0.05594237695078031,0.19328008012328976,17
NBEATS-Emb-16,5,-0.005911698012538349,-0.007683073229291715,0.26380015889192493,18
NBEATS-Emb-32,1,0.07418967587034814,0.0885954381752701,0.1669893337443967,17
NBEATS-Emb-32,5,-0.008606109110310796,-0.008787515006002401,0.21947098184629904,18
NBEATS-Emb-8,1,0.03590424405056139,0.05286914765906363,0.17097353006096827,17
NBEATS-Emb-8,5,-0.1511644657863145,-0.15644657863145256,0.18366165380873672,18
NBEATS-NoEmb,1,-0.07970906009462608,-0.006866746698679471,0.18347608949862512,17
NBEATS-NoEmb,5,-0.06743497398959582,-0.050036014405762295,0.2510269353918342,18
PatchTST,1,-0.009126474119059385,-0.032989195678271306,0.20775025349723422,17
PatchTST,5,0.026629318394024278,-0.02885954381752701,0.14459902897336832,18
