Model,Horizon,N,MAE,RMSE,DirectionalAccuracy,MeanActualReturn,MeanPredReturn
Naive-RandomWalk,1,900,0.013940244912996435,0.021367514409188226,0.056666666666666664,0.0009596182336735464,0.0
NBEATS-Emb-8,1,900,0.014197566821767186,0.021380761642682995,0.5,0.0009596182336735467,-0.001330249198815879
NBEATS,1,900,0.014557662064861133,0.022021418163904894,0.46444444444444444,0.0009596182336735467,0.0013064852319943233
PatchTST,1,900,0.01483920156286563,0.022017758546875002,0.4622222222222222,0.0009596182336735467,0.0006001332548148985
Chronos-ZeroShot,1,900,0.01511214825822396,0.023595373534023845,0.4866666666666667,0.0009596182336735464,0.0019454530993800634
NBEATS-Emb-16,1,900,0.01585548628407659,0.022807399456832907,0.41444444444444445,0.0009596182336735467,-0.0020950013564692465
NBEATS-NoEmb,1,900,0.016345542940531785,0.02365239840973224,0.45,0.0009596182336735467,0.0015403323951694633
NBEATS-Emb-32,1,900,0.016583373514768136,0.02370148583052111,0.4488888888888889,0.0009596182336735467,0.0010217650255395275
Kronos-ZeroShot,1,900,0.01835973731552233,0.026409929619377732,0.4777777777777778,0.0009596182336735464,0.0005281405630624286
PatchTST,5,900,0.03309768429379513,0.04558163509435175,0.5733333333333334,0.006682423006539154,0.003528188185777235
Naive-RandomWalk,5,900,0.033720288714326446,0.04601928530033974,0.0,0.006682423006539152,0.0
NBEATS,5,900,0.03381841818173546,0.046389089847636025,0.5566666666666666,0.006682423006539154,0.0053747453518421
NBEATS-NoEmb,5,900,0.03385029446656015,0.04645789490647694,0.5022222222222222,0.006682423006539154,0.003818108731259886
NBEATS-Emb-16,5,900,0.03389519246296441,0.0460892023743384,0.5333333333333333,0.006682423006539154,0.005176349342283257
NBEATS-Emb-32,5,900,0.034083998211997805,0.04661629774835444,0.5322222222222223,0.006682423006539154,0.00471083975552269
Chronos-ZeroShot,5,900,0.034622553791215385,0.048129238931933056,0.5388888888888889,0.006682423006539152,0.004903670826045565
NBEATS-Emb-8,5,900,0.03521829942236201,0.04767464213543091,0.49666666666666665,0.006682423006539154,-0.00038161538955238137
Kronos-ZeroShot,5,900,0.041760270605421604,0.05813562540731903,0.5377777777777778,0.006682423006539152,0.002946120399378983
