timestamp,asset,timeframe,signal,entry,sl1,sl2,tp1,tp2,pips_sl1,pips_sl2,pips_tp1,pips_tp2,rr_ratio,pred,adx,confidence,tp_prob,outcome,exit_price,pips_result,notes
5/27/2026 2:31,XAUUSD,15min,SELL,4407.09,4421.844,4421.844,4377.582,4377.582,0,0,0,0,2,0,25.2,0,0,TP,4377.58,295.1,
5/27/2026 5:18,XAUUSD,15min,BUY,4374.13,4359.45,4359.45,4403.489,4403.489,0,0,0,0,2,0,47.1,0,0,TP,4403.49,293.6,
5/27/2026 5:34,XAUUSD,15min,BUY,4387.12,4371.76,4371.76,4417.841,4417.841,0,0,0,0,2,0,45.5,0,0,TP,4417.84,307.2,
5/27/2026 5:51,XAUUSD,15min,BUY,4393.95,4378.517,4378.517,4424.816,4424.816,0,0,0,0,2,0,42.7,0,0,TP,4424.82,308.7,
5/27/2026 6:08,XAUUSD,15min,BUY,4381.75,4366.197,4366.197,4412.855,4412.855,0,0,0,0,2,0,41.3,0,0,TP,4412.86,311.1,
5/27/2026 7:06,XAUUSD,15min,BUY,4388.88,4373.883,4373.883,4418.874,4418.874,0,0,0,0,2,0,38.3,0,0,TP,4418.87,299.9,
5/27/2026 7:15,XAUUSD,15min,BUY,4388.98,4374.737,4374.737,4417.467,4417.467,0,0,0,0,2,0,36.2,0,0,TP,4417.47,284.9,
5/27/2026 7:32,XAUUSD,15min,BUY,4390.94,4376.454,4376.454,4419.912,4419.912,0,0,0,0,2,0,33.6,0,0,TP,4419.91,289.7,
5/27/2026 7:48,XAUUSD,15min,BUY,4387.28,4372.784,4372.784,4416.272,4416.272,0,0,0,0,2,0,31.9,0,0,TP,4416.27,289.9,
5/27/2026 8:05,XAUUSD,15min,BUY,4386.84,4372.341,4372.341,4415.839,4415.839,0,0,0,0,2,0,30.6,0,0,TP,4415.84,290,
5/27/2026 8:22,XAUUSD,15min,BUY,4393.34,4379.292,4379.292,4421.435,4421.435,0,0,0,0,2,0,28.5,0,0,TP,4421.44,281,
5/27/2026 9:20,XAUUSD,15min,BUY,4391.7,4378.853,4378.853,4417.394,4417.394,0,0,0,0,2,0,23,0,0,TP,4417.39,256.9,
5/27/2026 9:37,XAUUSD,15min,BUY,4394.81,4381.63,4381.63,4421.17,4421.17,0,0,0,0,2,0,22.3,0,0,TP,4421.17,263.6,
5/27/2026 9:45,XAUUSD,15min,BUY,4390.33,4377.768,4377.768,4415.454,4415.454,0,0,0,0,2,0,21.3,0,0,TP,4415.45,251.2,
5/27/2026 10:02,XAUUSD,15min,BUY,4392.29,4379.901,4379.901,4417.068,4417.068,0,0,0,0,2,0,20.4,0,0,TP,4417.07,247.8,
5/27/2026 10:19,XAUUSD,15min,BUY,4398.66,4385.882,4385.882,4424.216,4424.216,0,0,0,0,2,0,21.6,0,0,TP,4424.22,255.6,
5/27/2026 10:35,XAUUSD,15min,BUY,4398.77,4385.812,4385.812,4424.687,4424.687,0,0,0,0,2,0,21.6,0,0,TP,4424.69,259.2,
5/27/2026 6:16,XAUUSD,15min,SELL,4374.67,4389.982,4389.982,4344.047,4344.047,0,0,0,0,2,0,41.1,0,0,SL,4389.98,-153.1,
5/27/2026 6:33,XAUUSD,15min,SELL,4383.8,4399.507,4399.507,4352.386,4352.386,0,0,0,0,2,0,40.4,0,0,SL,4399.51,-157.1,
5/27/2026 6:49,XAUUSD,15min,SELL,4383.35,4398.77,4398.77,4352.509,4352.509,0,0,0,0,2,0,39.7,0,0,SL,4398.77,-154.2,
5/27/2026 8:30,XAUUSD,15min,SELL,4390.14,4403.671,4403.671,4363.079,4363.079,0,0,0,0,2,0,26.8,0,0,SL,4403.67,-135.3,
5/27/2026 8:47,XAUUSD,15min,SELL,4388.21,4401.815,4401.815,4361,4361,0,0,0,0,2,0,25.6,0,0,SL,4401.82,-136.1,
5/27/2026 9:04,XAUUSD,15min,SELL,4390.13,4403.56,4403.56,4363.271,4363.271,0,0,0,0,2,0,24.4,0,0,SL,4403.56,-134.3,
5/29/2026 7:26,XAUUSD,15min,BUY,4511.27,4499.529,4499.529,4534.753,4534.753,0,0,0,0,2,0.0001,30.4,76,0,TP,4534.753,234.8,TP1 + TP2 both hit. Full +235 pips.
5/29/2026 10:12,XAUUSD,15min,BUY,4518.18,4513.68,4506.193,4527.18,4542.153,45,120,90,240,2,0,30,91,58,TP,4542.153,239.7,TP2 hit +240 pips
5/29/2026 14:15,XAUUSD,15min,BUY,4528.79,4523.79,4516.798,4538.79,4552.774,50,120,100,240,2,0.0001,28,76,48,SL,4516.798,-119.9,SL2 hit -120 pips
5/29/2026 14:44,XAUUSD,15min,SELL,4513.76,4518.76,4527.097,4503.76,4487.086,50,133,100,267,2,-0.0002,25,69,53,SL,4527.097,-133.4,SL2 hit -133 pips
5/29/2026 15:49,XAUUSD,15min,BUY,4536.65,4531.65,4522.893,4546.65,4564.163,50,138,100,275,2,0.0004,21,70,58,TP,4564.163,275.1,TP2 hit +275 pips
5/29/2026 16:46,XAUUSD,15min,BUY,4539.65,4534.65,4523.987,4549.65,4570.977,50,157,100,313,2,0.0004,22.5,85,58,TP,4570.977,313.3,TP2 hit +313 pips
5/29/2026 17:00,XAUUSD,15min,BUY,4569.12,4564.12,4550.915,4579.12,4605.53,50,182,100,364,2,0.0009,25.9,95,58,TP,4579.12,100,TP1 hit +100 pips
6/1/2026 1:08,XAUUSD,15min,SELL,4530.6,4535.6,4543.994,4520.6,4503.813,50,134,100,268,2,-0.0002,28,93,53,TP,4503.813,368,TP2 hit +268
6/1/2026 1:53,XAUUSD,15min,SELL,4529.07,4534.07,4542.315,4519.07,4502.58,50,132,100,265,2,-0.0001,31.3,93,58,TP,4502.58,365,TP2 hit +265
6/1/2026 4:08,XAUUSD,15min,SELL,4514.72,4519.72,4527.476,4504.72,4489.208,50,128,100,255,2,-0.0002,43.7,93,75,TP,4489,225,TP2 hit +225
6/1/2026 4:53,XAUUSD,15min,SELL,4511.86,4516.86,4523.604,4501.86,4488.373,50,117,100,235,2,-0.0003,45.8,95,80,SL,4523.604,-117,SL2 hit -117
